Image Name,Spincoating Speed,Substrates preheated temperature,Solution preheated temperature,Composition,Antisolvent Used
Temp 50-150_60C3.tif,6000rpm 30s,60,60,AgBiI4,none used
Temp 50-150_140C0.tif,6000rpm 30s,140,140,AgBiI4,none used
Temp 50-150_130C1.tif,6000rpm 30s,130,130,AgBiI4,none used
Temp 50-150_150CSPILL8.tif,6000rpm 30s,150,150,AgBiI4,none used
Temp 50-150_100C5.tif,6000rpm 30s,100,100,AgBiI4,none used
Temp 50-150_50C1.tif,6000rpm 30s,50,50,AgBiI4,none used
Temp 50-150_110C5.tif,6000rpm 30s,110,110,AgBiI4,none used
Temp 50-150_80C8.tif,6000rpm 30s,80,80,AgBiI4,none used
Temp 50-150_80C7.tif,6000rpm 30s,80,80,AgBiI4,none used
Temp 50-150_90C9.tif,6000rpm 30s,90,90,AgBiI4,none used
Temp 50-150_130C2.tif,6000rpm 30s,130,130,AgBiI4,none used
Temp 50-150_70C1.tif,6000rpm 30s,70,70,AgBiI4,none used
Spinspeed 4000 vs 6000_6000_1.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,none used
Spinspeed 4000 vs 6000_4000_IPA_2_3.tif,"1000rpm 2s, 4000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_4000_IPA_2_4.tif,"1000rpm 2s, 4000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_4000_IPA_1_4.tif,"1000rpm 2s, 4000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_6000_IPA_2_1.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_4000_IPA_1_1.tif,"1000rpm 2s, 4000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_4000_2.tif,"1000rpm 2s, 4000rpm 30s",110,110,AgBiI4,none used
Spinspeed 4000 vs 6000_6000_IPA_2_3.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_6000_IPA_1_3.tif,"1000rpm 2s, 6000rpm 30s",110,110,AgBiI4,isopropanol
Spinspeed 4000 vs 6000_4000_1.tif,"1000rpm 2s, 4000rpm 30s",110,110,AgBiI4,none used
